Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta
Adulto Masculino;Salto Alto;2.05;2023;Nacional Adulto;Francisco Moraga
Adulto Masculino;Salto Alto;1.90;2023;Nacional Adulto;Nicolas Martin
Adulto Masculino;Salto Alto;1.90;2023;Nacional Adulto;Pedro Claro
Adulto Masculino;Salto Alto;1.85;2023;Nacional Adulto;Ignacio Tagle
Adulto Femenino;Salto Largo;6.19;2023;Nacional Adulto;Rocío Muñoz
Adulto Femenino;Salto Largo;6.13;2023;Nacional Adulto;Javiera Musalem
Adulto Femenino;Salto Largo;5.80;2023;Nacional Adulto;Javiera Perez
Adulto Femenino;Salto Largo;5.76;2023;Nacional Adulto;Sol Farias
Adulto Femenino;Salto Largo;5.35;2023;Nacional Adulto;Maria Garham
Adulto Femenino;Salto Largo;5.27;2023;Nacional Adulto;Paula Vejar
Adulto Femenino;Salto Largo;5.24;2023;Nacional Adulto;Camila Ponce
Adulto Femenino;Salto Largo;4.89;2023;Nacional Adulto;Franka Weul
Adulto Femenino;Salto Garrocha;3.50;2023;Nacional Adulto;Javiera Contreras
Adulto Femenino;Salto Garrocha;3.50;2023;Nacional Adulto;Antonia Crestani
Adulto Femenino;Salto Garrocha;3.20;2023;Nacional Adulto;Camila Velasco
Adulto Femenino;Salto Garrocha;3.20;2023;Nacional Adulto;Javiera Moraga
Adulto Femenino;Salto Garrocha;3.00;2023;Nacional Adulto;Francisca Cathalifaud
Adulto Femenino;Salto Garrocha;2.80;2023;Nacional Adulto;Josefina Ortiz
Adulto Femenino;Salto Alto;1.65;2023;Nacional Adulto;Antonia Merino
Adulto Femenino;Salto Alto;1.60;2023;Nacional Adulto;Laura Bustamante
Adulto Femenino;Salto Alto;1.60;2023;Nacional Adulto;Martina Kreutzberger
Adulto Femenino;Salto Alto;1.65;2023;Nacional Adulto;Antonia merino
Adulto Femenino;Salto Alto;1.60;2023;Nacional Adulto;Laura Bustamante
Adulto Femenino;Salto Alto;1.60;2023;Nacional Adulto;Martina Kreutzberger
Adulto Masculino;Salto Largo;7.60;2024;Nacional Adulto;Vicente Belgeri
Adulto Masculino;Salto Largo;7.33;2024;Nacional Adulto;Diego Bustamante
Adulto Masculino;Salto Largo;7.00;2024;Nacional Adulto;Juan Pablo Germain
Adulto Masculino;Salto Largo;6.98;2024;Nacional Adulto;Andres Silva
Adulto Masculino;Salto Largo;6.83;2024;Nacional Adulto;Daniel Avendaño
Adulto Masculino;Salto Largo;6.75;2024;Nacional Adulto;Cristobal Alonso
